sample_index,label
img_0000.png,Luminal B
img_0001.png,Luminal A
img_0002.png,HER2(+)
img_0003.png,Luminal B
img_0004.png,Luminal A
img_0005.png,HER2(+)
img_0006.png,Luminal B
img_0007.png,HER2(+)
img_0008.png,Luminal B
img_0009.png,Luminal B
img_0010.png,Luminal B
img_0011.png,HER2(+)
img_0012.png,Luminal B
img_0013.png,Luminal A
img_0014.png,Luminal B
img_0015.png,Luminal B
img_0016.png,HER2(+)
img_0017.png,HER2(+)
img_0018.png,Luminal B
img_0019.png,Luminal B
img_0020.png,Luminal B
img_0021.png,Luminal B
img_0022.png,HER2(+)
img_0023.png,Luminal B
img_0024.png,Luminal B
img_0025.png,Luminal A
img_0026.png,Luminal B
img_0027.png,Luminal B
img_0028.png,Luminal B
img_0029.png,Luminal B
img_0030.png,Luminal A
img_0031.png,Luminal B
img_0032.png,HER2(+)
img_0033.png,Luminal B
img_0034.png,HER2(+)
img_0035.png,Luminal B
img_0036.png,HER2(+)
img_0037.png,Luminal B
img_0038.png,HER2(+)
img_0039.png,Luminal B
img_0040.png,Luminal B
img_0041.png,HER2(+)
img_0042.png,HER2(+)
img_0043.png,Luminal B
img_0044.png,Luminal B
img_0045.png,Luminal B
img_0046.png,Luminal B
img_0047.png,Luminal B
img_0048.png,Luminal B
img_0049.png,Triple negative
img_0050.png,Luminal B
img_0051.png,HER2(+)
img_0052.png,Luminal B
img_0053.png,Luminal B
img_0054.png,HER2(+)
img_0055.png,HER2(+)
img_0056.png,Luminal B
img_0057.png,Luminal A
img_0058.png,Luminal B
img_0059.png,Luminal B
img_0060.png,Luminal B
img_0061.png,Luminal B
img_0062.png,Luminal B
img_0063.png,Luminal B
img_0064.png,Luminal B
img_0065.png,Luminal B
img_0066.png,Luminal B
img_0067.png,HER2(+)
img_0068.png,Luminal A
img_0069.png,Luminal B
img_0070.png,Luminal A
img_0071.png,HER2(+)
img_0072.png,Luminal B
img_0073.png,HER2(+)
img_0074.png,Luminal B
img_0075.png,Luminal B
img_0076.png,HER2(+)
img_0077.png,Luminal A
img_0078.png,Luminal B
img_0079.png,Luminal B
img_0080.png,Luminal B
img_0081.png,Luminal B
img_0082.png,Triple negative
img_0083.png,Luminal B
img_0084.png,Luminal A
img_0085.png,Luminal B
img_0086.png,HER2(+)
img_0087.png,Luminal B
img_0088.png,Luminal A
img_0089.png,HER2(+)
img_0090.png,Luminal A
img_0091.png,HER2(+)
img_0092.png,Luminal B
img_0093.png,HER2(+)
img_0094.png,Luminal B
img_0095.png,Luminal B
img_0096.png,Luminal B
img_0097.png,Luminal B
img_0098.png,Luminal B
img_0099.png,Luminal B
img_0100.png,HER2(+)
img_0101.png,Luminal B
img_0102.png,Luminal B
img_0103.png,HER2(+)
img_0104.png,Luminal B
img_0105.png,Luminal B
img_0106.png,Luminal B
img_0107.png,Luminal B
img_0108.png,HER2(+)
img_0109.png,HER2(+)
img_0110.png,Luminal A
img_0111.png,Luminal B
img_0112.png,Luminal B
img_0113.png,HER2(+)
img_0114.png,HER2(+)
img_0115.png,Luminal B
img_0116.png,Luminal A
img_0117.png,HER2(+)
img_0118.png,Luminal B
img_0119.png,HER2(+)
img_0120.png,Luminal B
img_0121.png,Luminal B
img_0122.png,Luminal B
img_0123.png,HER2(+)
img_0124.png,HER2(+)
img_0125.png,HER2(+)
img_0126.png,Luminal B
img_0127.png,Luminal B
img_0128.png,Luminal B
img_0129.png,Luminal B
img_0130.png,Luminal B
img_0131.png,HER2(+)
img_0132.png,Luminal B
img_0133.png,Luminal B
img_0134.png,Luminal B
img_0135.png,Luminal B
img_0136.png,Luminal B
img_0137.png,Luminal B
img_0138.png,Luminal B
img_0139.png,Luminal B
img_0140.png,Luminal B
img_0141.png,Luminal A
img_0142.png,Luminal B
img_0143.png,Luminal B
img_0144.png,Luminal B
img_0145.png,Luminal B
img_0146.png,Luminal B
img_0147.png,Luminal B
img_0148.png,Luminal B
img_0149.png,Luminal A
img_0150.png,Luminal B
img_0151.png,HER2(+)
img_0152.png,Luminal B
img_0153.png,HER2(+)
img_0154.png,Luminal B
img_0155.png,Luminal B
img_0156.png,Luminal B
img_0157.png,Luminal A
img_0158.png,Luminal B
img_0159.png,Luminal B
img_0160.png,Luminal B
img_0161.png,Luminal B
img_0162.png,Luminal B
img_0163.png,HER2(+)
img_0164.png,Luminal B
img_0165.png,Luminal B
img_0166.png,Luminal A
img_0167.png,Luminal B
img_0168.png,Luminal A
img_0169.png,Luminal B
img_0170.png,Luminal B
img_0171.png,HER2(+)
img_0172.png,Luminal B
img_0173.png,Luminal B
img_0174.png,Luminal B
img_0175.png,Luminal B
img_0176.png,Luminal A
img_0177.png,Luminal B
img_0178.png,Triple negative
img_0179.png,Luminal A
img_0180.png,Luminal B
img_0181.png,Luminal B
img_0182.png,Luminal B
img_0183.png,Luminal B
img_0184.png,Luminal B
img_0185.png,Luminal B
img_0186.png,Luminal B
img_0187.png,Luminal B
img_0188.png,HER2(+)
img_0189.png,Luminal B
img_0190.png,Luminal B
img_0191.png,HER2(+)
img_0192.png,Luminal B
img_0193.png,HER2(+)
img_0194.png,Luminal B
img_0195.png,Luminal B
img_0196.png,HER2(+)
img_0197.png,Luminal A
img_0198.png,Luminal B
img_0199.png,HER2(+)
img_0200.png,Luminal A
img_0201.png,Luminal A
img_0202.png,Luminal B
img_0203.png,Luminal B
img_0204.png,HER2(+)
img_0205.png,Luminal B
img_0206.png,Luminal B
img_0207.png,HER2(+)
img_0208.png,HER2(+)
img_0209.png,Luminal B
img_0210.png,Luminal A
img_0211.png,HER2(+)
img_0212.png,Luminal B
img_0213.png,Luminal B
img_0214.png,Luminal B
img_0215.png,Luminal B
img_0216.png,HER2(+)
img_0217.png,Luminal B
img_0218.png,Luminal B
img_0219.png,Luminal B
img_0220.png,Luminal A
img_0221.png,HER2(+)
img_0222.png,HER2(+)
img_0223.png,Luminal B
img_0224.png,Luminal B
img_0225.png,Luminal B
img_0226.png,Luminal B
img_0227.png,Luminal B
img_0228.png,Luminal B
img_0229.png,Luminal B
img_0230.png,Luminal B
img_0231.png,Luminal B
img_0232.png,HER2(+)
img_0233.png,Luminal B
img_0234.png,Luminal B
img_0235.png,Luminal B
img_0236.png,Luminal B
img_0237.png,Luminal B
img_0238.png,HER2(+)
img_0239.png,Luminal B
img_0240.png,HER2(+)
img_0241.png,Luminal B
img_0242.png,Luminal B
img_0243.png,Luminal B
img_0244.png,HER2(+)
img_0245.png,HER2(+)
img_0246.png,HER2(+)
img_0247.png,HER2(+)
img_0248.png,Luminal B
img_0249.png,HER2(+)
img_0250.png,Luminal B
img_0251.png,HER2(+)
img_0252.png,Luminal B
img_0253.png,Luminal B
img_0254.png,Luminal B
img_0255.png,Luminal B
img_0256.png,Luminal B
img_0257.png,Luminal B
img_0258.png,HER2(+)
img_0259.png,Luminal B
img_0260.png,Luminal B
img_0261.png,Luminal B
img_0262.png,HER2(+)
img_0263.png,Luminal B
img_0264.png,HER2(+)
img_0265.png,Luminal B
img_0266.png,Luminal A
img_0267.png,HER2(+)
img_0268.png,Luminal A
img_0269.png,Luminal B
img_0270.png,Luminal B
img_0271.png,Triple negative
img_0272.png,Luminal B
img_0273.png,Luminal A
img_0274.png,Luminal B
img_0275.png,Luminal B
img_0276.png,Luminal B
img_0277.png,HER2(+)
img_0278.png,Luminal B
img_0279.png,Luminal B
img_0280.png,Luminal B
img_0281.png,HER2(+)
img_0282.png,Luminal B
img_0283.png,Luminal B
img_0284.png,HER2(+)
img_0285.png,Luminal A
img_0286.png,Luminal B
img_0287.png,Luminal B
img_0288.png,Luminal B
img_0289.png,Luminal B
img_0290.png,Luminal B
img_0291.png,Luminal B
img_0292.png,Luminal A
img_0293.png,Luminal B
img_0294.png,Luminal B
img_0295.png,HER2(+)
img_0296.png,Luminal B
img_0297.png,Luminal B
img_0298.png,Luminal B
img_0299.png,Luminal B
img_0300.png,Luminal B
img_0301.png,Luminal B
img_0302.png,Luminal B
img_0303.png,Luminal B
img_0304.png,Luminal B
img_0305.png,Luminal B
img_0306.png,HER2(+)
img_0307.png,HER2(+)
img_0308.png,Luminal B
img_0309.png,Luminal B
img_0310.png,HER2(+)
img_0311.png,Luminal B
img_0312.png,Luminal B
img_0313.png,Luminal B
img_0314.png,Luminal B
img_0315.png,Luminal B
img_0316.png,HER2(+)
img_0317.png,Luminal B
img_0318.png,Luminal B
img_0319.png,Luminal B
img_0320.png,Luminal A
img_0321.png,Luminal B
img_0322.png,Luminal B
img_0323.png,HER2(+)
img_0324.png,Luminal B
img_0325.png,HER2(+)
img_0326.png,HER2(+)
img_0327.png,Luminal B
img_0328.png,Luminal B
img_0329.png,Luminal B
img_0330.png,Luminal B
img_0331.png,Luminal B
img_0332.png,HER2(+)
img_0333.png,Luminal B
img_0334.png,Luminal B
img_0335.png,HER2(+)
img_0336.png,HER2(+)
img_0337.png,Luminal B
img_0338.png,Luminal A
img_0339.png,Luminal B
img_0340.png,Luminal B
img_0341.png,Luminal A
img_0342.png,Luminal B
img_0343.png,HER2(+)
img_0344.png,Luminal B
img_0345.png,Luminal B
img_0346.png,Luminal B
img_0347.png,Luminal B
img_0348.png,Luminal B
img_0349.png,HER2(+)
img_0350.png,HER2(+)
img_0351.png,Luminal B
img_0352.png,Luminal B
img_0353.png,Luminal B
img_0354.png,Luminal B
img_0355.png,HER2(+)
img_0356.png,Luminal B
img_0357.png,HER2(+)
img_0358.png,Luminal A
img_0359.png,HER2(+)
img_0360.png,HER2(+)
img_0361.png,Luminal A
img_0362.png,HER2(+)
img_0363.png,Luminal B
img_0364.png,Luminal B
img_0365.png,Luminal B
img_0366.png,Luminal B
img_0367.png,Luminal B
img_0368.png,Luminal B
img_0369.png,Luminal B
img_0370.png,Luminal B
img_0371.png,Luminal B
img_0372.png,HER2(+)
img_0373.png,Luminal B
img_0374.png,Luminal A
img_0375.png,Luminal B
img_0376.png,Luminal B
img_0377.png,HER2(+)
img_0378.png,Luminal B
img_0379.png,Luminal A
img_0380.png,Luminal B
img_0381.png,Luminal B
img_0382.png,Luminal B
img_0383.png,HER2(+)
img_0384.png,Luminal B
img_0385.png,Luminal A
img_0386.png,Luminal B
img_0387.png,Luminal B
img_0388.png,Luminal B
img_0389.png,Luminal B
img_0390.png,Luminal B
img_0391.png,HER2(+)
img_0392.png,Luminal B
img_0393.png,Luminal B
img_0394.png,Luminal B
img_0395.png,Luminal B
img_0396.png,HER2(+)
img_0397.png,Luminal B
img_0398.png,Luminal B
img_0399.png,Luminal B
img_0400.png,HER2(+)
img_0401.png,Luminal B
img_0402.png,Luminal B
img_0403.png,HER2(+)
img_0404.png,Luminal A
img_0405.png,Luminal B
img_0406.png,Triple negative
img_0407.png,Triple negative
img_0408.png,Luminal B
img_0409.png,Luminal B
img_0410.png,Luminal B
img_0411.png,HER2(+)
img_0412.png,Luminal B
img_0413.png,Luminal B
img_0414.png,Luminal B
img_0415.png,Luminal B
img_0416.png,Luminal B
img_0417.png,Luminal B
img_0418.png,Luminal A
img_0419.png,Luminal A
img_0420.png,HER2(+)
img_0421.png,HER2(+)
img_0422.png,Luminal B
img_0423.png,HER2(+)
img_0424.png,Luminal B
img_0425.png,Luminal B
img_0426.png,Luminal B
img_0427.png,Luminal B
img_0428.png,Luminal B
img_0429.png,Luminal B
img_0430.png,Luminal B
img_0431.png,Luminal B
img_0432.png,Luminal B
img_0433.png,Luminal B
img_0434.png,Luminal B
img_0435.png,HER2(+)
img_0436.png,Luminal B
img_0437.png,HER2(+)
img_0438.png,HER2(+)
img_0439.png,Luminal B
